Raw Data 		Experiment - wj-qpcr (Run on LCS480 1.5.1.62)
SamplePos	SampleName	Prog#	Seg#	Cycle#	Time	Temp	465-510	
A2	Sample 2	3	3	1	7207620	76.96	0.09
A2	Sample 2	3	3	1	7208860	77.15	0.10
A2	Sample 2	3	3	1	7210100	77.36	0.10
A2	Sample 2	3	3	1	7211340	77.56	0.10
A2	Sample 2	3	3	1	7212580	77.76	0.09
A2	Sample 2	3	3	1	7213820	77.97	0.10
A2	Sample 2	3	3	1	7215060	78.18	0.09
A2	Sample 2	3	3	1	7216300	78.37	0.10
A2	Sample 2	3	3	1	7217530	78.58	0.09
A2	Sample 2	3	3	1	7218790	78.79	0.09
A2	Sample 2	3	3	1	7220020	78.99	0.09
A2	Sample 2	3	3	1	7221260	79.16	0.09
A2	Sample 2	3	3	1	7222500	79.4	0.10
A2	Sample 2	3	3	1	7223740	79.57	0.09
A2	Sample 2	3	3	1	7224980	79.79	0.09
A2	Sample 2	3	3	1	7226210	79.99	0.10
A2	Sample 2	3	3	1	7227430	80.19	0.09
A2	Sample 2	3	3	1	7228690	80.4	0.10
A2	Sample 2	3	3	1	7229910	80.58	0.09
A2	Sample 2	3	3	1	7231160	80.78	0.10
A2	Sample 2	3	3	1	7232380	81.01	0.09
A2	Sample 2	3	3	1	7233640	81.19	0.09
A2	Sample 2	3	3	1	7234900	81.39	0.09
A2	Sample 2	3	3	1	7236130	81.61	0.10
A2	Sample 2	3	3	1	7237370	81.81	0.09
A2	Sample 2	3	3	1	7238610	82.01	0.10
A2	Sample 2	3	3	1	7239860	82.19	0.10
A2	Sample 2	3	3	1	7241100	82.41	0.09
A2	Sample 2	3	3	1	7242350	82.6	0.09
A2	Sample 2	3	3	1	7243590	82.81	0.09
A2	Sample 2	3	3	1	7244820	83.02	0.10
A2	Sample 2	3	3	1	7246060	83.2	0.09
A2	Sample 2	3	3	1	7247300	83.44	0.09
A2	Sample 2	3	3	1	7248540	83.64	0.09
A2	Sample 2	3	3	1	7249770	83.85	0.09
A2	Sample 2	3	3	1	7251010	84.03	0.08
A2	Sample 2	3	3	1	7252260	84.22	0.10
